[GIN] 2020/07/05 - 13:16:02 | 200 |     50.8628ms |             ::1 | GET      /api/v1/video/1
[GIN] 2020/07/05 - 13:16:12 | 200 |    217.4183ms |             ::1 | POST     /api/v1/video/1
[GIN] 2020/07/05 - 13:16:34 | 200 |      6.9819ms |             ::1 | GET      /api/v1/videos
[GIN] 2020/07/05 - 13:16:38 | 200 |       997.2µs |             ::1 | GET      /api/v1/video/4
[GIN] 2020/07/05 - 13:16:44 | 200 |      1.9957ms |             ::1 | GET      /api/v1/video/1
[GIN] 2020/07/05 - 13:17:01 | 200 |    159.5723ms |             ::1 | DELETE   /api/v1/video/1
[GIN] 2020/07/05 - 13:17:19 | 200 |    163.5617ms |             ::1 | DELETE   /api/v1/video/2
[GIN] 2020/07/05 - 13:20:16 | 200 |      6.9818ms |             ::1 | DELETE   /api/v1/video/2
[GIN] 2020/07/05 - 13:20:33 | 200 |      1.9944ms |             ::1 | GET      /api/v1/videos
[GIN] 2020/07/05 - 13:20:45 | 200 |         998µs |             ::1 | DELETE   /api/v1/video/2
[GIN] 2020/07/05 - 13:20:47 | 200 |      12.966ms |             ::1 | DELETE   /api/v1/video/1
[GIN] 2020/07/05 - 13:20:49 | 200 |    166.5549ms |             ::1 | DELETE   /api/v1/video/3
[GIN] 2020/07/05 - 13:20:53 | 200 |       996.9µs |             ::1 | DELETE   /api/v1/video/3
[GIN] 2020/07/05 - 13:20:55 | 200 |      2.9916ms |             ::1 | DELETE   /api/v1/video/3
[GIN] 2020/07/05 - 13:20:56 | 200 |      1.0007ms |             ::1 | DELETE   /api/v1/video/3
[GIN] 2020/07/05 - 13:20:56 | 200 |            0s |             ::1 | DELETE   /api/v1/video/3
[GIN] 2020/07/05 - 13:21:02 | 200 |       997.8µs |             ::1 | DELETE   /api/v1/video/3
[GIN] 2020/07/05 - 13:22:49 | 200 |      3.9872ms |             ::1 | DELETE   /api/v1/video/3
